Kennziffer;Raumeinheit;Aggregat;Baulandpreise;Veränderung Baulandpreise;Baulandumsatz
;;;2016/2017;2012/2013-2016/2017;2015/2016
09663;Würzburg, Stadt;krsfr. Stadt;447,7;163,3;26,1
09671;Aschaffenburg;Landkreis;181,6;2,1;22,1
09672;Bad Kissingen;Landkreis;55,6;8,8;25,0
09673;Rhön-Grabfeld;Landkreis;32,1;4,0;38,1
09674;Haßberge;Landkreis;46,9;14,1;32,4
09675;Kitzingen;Landkreis;91,0;11,0;34,4
09676;Miltenberg;Landkreis;141,8;2,7;26,8
09677;Main-Spessart;Landkreis;78,5;5,5;31,1
09678;Schweinfurt;Landkreis;76,9;38,4;11,2
09679;Würzburg;Landkreis;142,0;8,4;47,9
09761;Augsburg, Stadt;krsfr. Stadt;663,7;313,4;37,7
09762;Kaufbeuren, Stadt;krsfr. Stadt;177,0;-2,9;53,3
09763;Kempten (Allgäu), Stadt;krsfr. Stadt;0,0;0,0;11,4
09764;Memmingen, Stadt;krsfr. Stadt;150,3;-11,4;22,0
09771;Aichach-Friedberg;Landkreis;223,5;69,1;40,5
09772;Augsburg;Landkreis;220,1;57,7;25,4
09773;Dillingen a.d.Donau;Landkreis;83,5;9,2;38,6
09774;Günzburg;Landkreis;100,1;17,1;27,3
09775;Neu-Ulm;Landkreis;179,2;45,9;30,4
09776;Lindau (Bodensee);Landkreis;275,5;59,3;32,2
09777;Ostallgäu;Landkreis;160,4;43,5;35,0
09778;Unterallgäu;Landkreis;101,9;9,0;42,1
09779;Donau-Ries;Landkreis;75,6;3,6;43,6
09780;Oberallgäu;Landkreis;143,0;2,8;54,7
10041;Regionalverband Saarbrücken;Landkreis;107,7;25,0;15,3
10042;Merzig-Wadern;Landkreis;70,4;6,7;25,8
10043;Neunkirchen;Landkreis;77,6;6,2;20,4
10044;Saarlouis;Landkreis;100,7;7,3;20,4
10045;Saarpfalz-Kreis;Landkreis;114,2;35,1;20,0
10046;St. Wendel;Landkreis;54,6;9,0;21,1
11000;Berlin, Stadt;krsfr. Stadt;636,5;249,9;29,5
12051;Brandenburg an der Havel, Stadt;krsfr. Stadt;61,6;4,4;27,0
12052;Cottbus, Stadt;krsfr. Stadt;78,6;29,7;21,0
12053;Frankfurt (Oder), Stadt;krsfr. Stadt;28,7;-10,8;28,8
12054;Potsdam, Stadt;krsfr. Stadt;302,6;94,4;58,1
12060;Barnim;Landkreis;82,0;30,4;72,8
12061;Dahme-Spreewald;Landkreis;97,9;33,3;65,4
12062;Elbe-Elster;Landkreis;11,5;-1,2;14,6
12063;Havelland;Landkreis;95,8;36,3;48,2
12064;Märkisch-Oderland;Landkreis;75,6;27,8;40,0
12065;Oberhavel;Landkreis;81,9;17,3;72,4
12066;Oberspreewald-Lausitz;Landkreis;18,1;1,3;10,4
12067;Oder-Spree;Landkreis;47,3;4,3;51,9
12068;Ostprignitz-Ruppin;Landkreis;33,2;-10,8;25,5
12069;Potsdam-Mittelmark;Landkreis;99,1;36,1;77,9
12070;Prignitz;Landkreis;15,8;2,4;18,4
12071;Spree-Neiße;Landkreis;17,4;1,5;13,4
12072;Teltow-Fläming;Landkreis;86,9;36,8;49,1
12073;Uckermark;Landkreis;17,2;-0,2;20,3
13003;Rostock, Stadt;krsfr. Stadt;133,8;54,0;10,1
13004;Schwerin, Stadt;krsfr. Stadt;76,4;-19,9;21,1
13071;Mecklenburgische Seenplatte;Landkreis;37,1;-2,3;18,7
13072;Landkreis Rostock;Landkreis;44,7;-14,8;9,7
13073;Vorpommern-Rügen;Landkreis;60,7;21,5;26,0
13074;Nordwestmecklenburg;Landkreis;62,8;18,8;21,5
13075;Vorpommern-Greifswald;Landkreis;46,4;7,1;14,6
13076;Ludwigslust-Parchim;Landkreis;37,0;4,2;8,0
14511;Chemnitz, Stadt;krsfr. Stadt;68,6;22,4;41,0
14521;Erzgebirgskreis;Landkreis;41,9;14,1;16,6
14522;Mittelsachsen;Landkreis;49,8;3,5;138,5
14523;Vogtlandkreis;Landkreis;33,5;0,5;15,0
14524;Zwickau;Landkreis;44,0;14,1;27,9
14612;Dresden, Stadt;krsfr. Stadt;217,2;85,9;67,7
14625;Bautzen;Landkreis;37,7;24,5;37,9
14626;Görlitz;Landkreis;26,1;13,2;37,4
14627;Meißen;Landkreis;41,6;12,5;113,0
14628;Sächsische Schweiz-Osterzgebirge;Landkreis;47,7;2,8;43,5
14713;Leipzig, Stadt;krsfr. Stadt;232,7;115,2;50,1
14729;Leipzig;Landkreis;64,1;20,7;65,5
14730;Nordsachsen;Landkreis;41,4;23,8;38,4
15001;Dessau-Roßlau, Stadt;krsfr. Stadt;57,9;2,8;15,3
15002;Halle (Saale), Stadt;krsfr. Stadt;113,5;42,6;48,2
15003;Magdeburg, Stadt;krsfr. Stadt;92,7;7,4;25,4
15081;Altmarkkreis Salzwedel;Landkreis;19,4;1,7;14,1
15082;Anhalt-Bitterfeld;Landkreis;28,7;-0,3;17,1
15083;Börde;Landkreis;34,9;5,2;21,2
15084;Burgenlandkreis;Landkreis;37,0;4,0;9,9
15085;Harz;Landkreis;42,9;5,9;14,1
15086;Jerichower Land;Landkreis;34,8;6,4;13,3
15087;Mansfeld-Südharz;Landkreis;17,6;-2,1;13,4
15088;Saalekreis;Landkreis;36,7;8,3;17,1
15089;Salzlandkreis;Landkreis;30,9;11,6;10,7
15090;Stendal;Landkreis;26,4;2,4;16,4
15091;Wittenberg;Landkreis;24,8;-3,9;15,8
16051;Erfurt, Stadt;krsfr. Stadt;183,8;94,0;27,9
16052;Gera, Stadt;krsfr. Stadt;56,2;5,5;16,5
16053;Jena, Stadt;krsfr. Stadt;298,4;171,9;28,9
16054;Suhl, Stadt;krsfr. Stadt;29,7;0,6;36,9
16055;Weimar, Stadt;krsfr. Stadt;73,2;-4,2;51,0
16056;Eisenach, Stadt;krsfr. Stadt;46,3;2,3;37,6
16061;Eichsfeld;Landkreis;42,8;9,9;33,9
16062;Nordhausen;Landkreis;25,3;-9,1;18,4
